Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
FreshY Canadian,163000,0.25773475,0.203,0.0493202283978462,163
Learn English  ,11000,0.25353765,0.314,0.0794765502214431,96
emilywking,902000,0.25106704,0.285,0.069214142858982,2773
Fore Play Golf,574000,0.24402532,0.331,0.0705384165048599,4245
Chess.com,2680000,0.23827103,0.325,0.07414161413908,6530
Compass ,21700,0.23506683,0.178,0.0243870858103036,1305
Kanika Batra,154000,0.23019019,0.345,0.0968414843082428,251
BrrrakeF1,128000,0.21643606,0.184,0.0345018580555915,159
CrashCourse,16700000,0.21480866,0.337,0.0846300944685936,1651
Proko,4150000,0.20670488,0.245,0.0482480973005294,1116
Dr. Mary Barbera - Turn Autism Around®,204000,0.20495825,0.197,0.0395650304853916,1296
Bussin' With The Boys,670000,0.2026056,0.194,0.0382041558623313,4482
"IT Creations, Inc.",15400,0.16458149,0.102,0.0150903780013322,385
WISN 12 News,229000,0.1630353,0.184,0.0251406226307153,68949
Shemmassian Academic Consulting,40700,0.16177744,0.196,0.0486936680972576,465
Intuitive Tennis,328000,0.15813261,0.155,0.0291250515729188,900
